,ncessch,county_code,y,x,enrollment,TAZ
1286,63441005639,75,37.758006,-122.489134,599.0,1157
1287,63441005640,75,37.747774,-122.41193799999999,437.0,1138
1288,63441005641,75,37.710474,-122.447181,570.0,1088
1289,63441005643,75,37.730369,-122.482937,2685.0,1219
1290,63441005645,75,37.801876,-122.435557,779.0,962
1291,63441005646,75,37.76645,-122.41888600000001,251.0,1119
1292,63441005647,75,37.766909000000005,-122.436523,384.0,1118
1293,63441005648,75,37.738984,-122.450201,390.0,1153
1294,63441005649,75,37.742209,-122.43138200000001,131.0,1066
1295,63441005650,75,37.7614,-122.427,1058.0,1061
1296,63441005651,75,37.725362,-122.430586,511.0,1142
1297,63441005652,75,37.77424,-122.4501,260.0,1054
1298,63441005653,75,37.775117,-122.434053,125.0,1115
1299,63441005654,75,37.737423,-122.41318100000001,462.0,1080
1300,63441005655,75,37.727739,-122.405177,509.0,1083
1301,63441005657,75,37.781194,-122.489425,1100.0,1235
1302,63441005658,75,37.78327,-122.42959599999999,461.0,1051
1303,63441005659,75,37.789572,-122.41924099999999,255.0,1022
1304,63441005660,75,37.748691,-122.492497,464.0,1101
1305,63441005661,75,37.754917999999996,-122.44353799999999,586.0,1060
1306,63441005662,75,37.782206,-122.45866399999998,698.0,1110
1307,63441005663,75,37.726222,-122.432107,290.0,1142
1308,63441005664,75,37.763418,-122.43043,260.0,1121
1309,63441005666,75,37.753693,-122.45624699999999,552.0,1091
1310,63441005667,75,37.714501,-122.459612,215.0,1100
1311,63441005668,75,37.797837,-122.42607199999999,384.0,1106
1312,63441005669,75,37.734463,-122.38076000000001,85.0,1076
1313,63441005670,75,37.794058,-122.41879399999999,349.0,953
1314,63441005671,75,37.753143,-122.399022,329.0,1130
1315,63441005672,75,37.730258,-122.44861200000001,385.0,1098
1316,63441005674,75,37.783636,-122.471465,259.0,1234
1317,63441005676,75,37.737377,-122.49947900000001,514.0,1222
1318,63441005677,75,37.71245,-122.4104,420.0,1147
1319,63441005678,75,37.715703999999995,-122.413104,473.0,1242
1320,63441005679,75,37.742925,-122.464395,594.0,1096
1321,63441005681,75,37.787755,-122.439269,109.0,967
1322,63441006556,75,37.750679999999996,-122.499629,403.0,1222
1323,63441007350,75,37.759536,-122.41454099999999,319.0,1070
1324,63441007354,75,37.72144,-122.44530800000001,268.0,1086
1325,63441007721,75,37.824631,-122.36893500000001,22.0,1059
1326,63441007725,75,37.78326,-122.437524,482.0,1112
1327,63441007732,75,37.781940000000006,-122.41976100000001,332.0,1027
1328,63441007840,75,37.7633,-122.46362099999999,201.0,1149
1329,63441007841,75,37.803336,-122.44297900000001,678.0,961
1330,63441007842,75,37.763659999999994,-122.429355,533.0,1121
1331,63441007845,75,37.780476,-122.44648600000001,636.0,1050
1332,63441008189,75,37.721303999999996,-122.40651000000001,1033.0,1084
1333,63441008191,75,37.731668,-122.39394399999999,208.0,1135
1334,63441008967,75,37.80193,-122.416552,270.0,950
1335,63441009625,75,37.761689000000004,-122.400669,126.0,1129
1336,63441010388,75,37.75483,-122.426071,693.0,1125
1337,63441011252,75,37.719558,-122.42524099999999,258.0,1242
1338,63441011255,75,37.783146,-122.437506,374.0,1112
1339,63441011256,75,37.719559999999994,-122.39661100000001,288.0,1243
1340,63441011407,81,37.626754,-122.45757900000001,382.0,1166
1341,63441011408,75,37.719558,-122.42524099999999,340.0,1242
1342,63441011772,75,37.739653999999994,-122.481699,512.0,1102
1343,63441012256,75,37.77717,-122.40213999999999,1925.0,345
1344,63441012373,75,37.777159999999995,-122.40215,163.0,345
1345,63441012487,75,37.76985,-122.444331,405.0,1116
1346,63441012494,75,37.75522,-122.40886100000002,302.0,1071
1347,63441012526,75,37.745078,-122.44949,318.0,1067
1348,63441012788,75,37.79271,-122.433521,171.0,1107
1349,63441012800,75,37.77953,-122.435951,313.0,1112
1350,63441013410,75,37.73232,-122.381671,312.0,1075
1351,63441013687,75,37.72574,-122.45128100000001,167.0,1098
1352,63459001503,85,37.32695,-121.9373,0.0,1385
1353,63459001508,85,37.258837,-121.855177,41.0,254
1354,63459001509,85,37.291876,-121.897349,30.0,1377
1355,63459001517,85,37.247188,-121.883278,38.0,134
1356,63459001538,85,37.207551,-121.85155300000001,693.0,136
1357,63459002794,85,37.218145,-121.84493,41.0,135
1358,63459002795,85,37.350097999999996,-121.871578,44.0,1390
1359,63459004084,85,37.310709,-121.90151399999999,526.0,1370
